d20550|断掉电源电路。|├電源回路抹消
d34581|电动机B主电路用接触器2触点的开闭次数|電動機B主回路用接触器2接点の開閉回数
d34582|电动机B主电路用接触器2触点的接触电阻|電動機B主回路用接触器2接点の接触抵抗
d34583|电动机B主电路用接触器2可动部的状态|電動機B主回路用接触器2可動部の状態
d34584|电动机B主电路用接触器2的主触点最终交换日|電動機B主回路用接触器2の主接点最終交換日
d34585|电动机B主电路用接触器2名称|電動機B主回路用接触器2名称
d34586|电动机B主电路用接触器2型号名称|電動機B主回路用接触器2型名
d34587|电动机B主电路用接触器2附件输出选择开关改修基准选择|電動機B主回路用接触器2別添出力選択開閉改修基準選択
d34588|电动机B主电路用接触器2附件输出选择开关改修基准|電動機B主回路用接触器2別添出力選択開閉改修基準
d34589|电动机B主电路用接触器2附件输出选择使用年数选择|電動機B主回路用接触器2別添出力選択使用年数選択
d34590|电动机B主电路用接触器2附件输出选择使用年限|電動機B主回路用接触器2別添出力選択使用年数
d34591|电动机B主电路用接触器2触点的开闭次数是否良好|電動機B主回路用接触器2接点の開閉回数良否
d34592|电动机B主电路用接触器2触点的状态（磨损量）有无|電動機B主回路用接触器2接点の状態（摩耗量）有無
d34593|电动机B主电路用接触器2触点的状态（磨损量）好坏|電動機B主回路用接触器2接点の状態（摩耗量）良否
d34594|电动机B主电路用接触器2有无可动部的状态|電動機B主回路用接触器2可動部の状態有無
d34595|电动机B主电路用接触器2的主触点使用年限|電動機B主回路用接触器2の主接点使用年数
d34597|通过电动机B主电路用接触器3的主接点目视确认|電動機B主回路用接触器3の主接点目視による確認
d34598|电动机B主电路用接触器3的主触点相位保护设计|電動機B主回路用接触器3の主接点フェールセーフ設計
d34599|电动机B主电路用接触器3的主接点交换基准检查方法|電動機B主回路用接触器3の主接点交換基準検査方法
d34600|电动机B主电路用接触器3的主接点交换基准|電動機B主回路用接触器3の主接点交換基準
d34601|电动机B主电路用接触器3触点的开闭次数|電動機B主回路用接触器3接点の開閉回数
d34602|电动机B主电路用接触器3触点的接触电阻|電動機B主回路用接触器3接点の接触抵抗
d34603|电动机B主电路用接触器3可动部的状态|電動機B主回路用接触器3可動部の状態
d34604|电动机B主电路用接触器3的主触点最终交换日|電動機B主回路用接触器3の主接点最終交換日
d34605|电动机B主电路用接触器3名称|電動機B主回路用接触器3名称
d34606|电动机B主电路用接触器3型号名称|電動機B主回路用接触器3型名
d34607|电动机B主电路用接触器3附件输出选择开关改修基准选择|電動機B主回路用接触器3別添出力選択開閉改修基準選択
d34608|电动机B主电路用接触器3附件输出选择开关改修基准|電動機B主回路用接触器3別添出力選択開閉改修基準
d34609|电动机B主电路用接触器3附件输出选择使用年数选择|電動機B主回路用接触器3別添出力選択使用年数選択
d34610|电动机B主电路用接触器3附件输出选择使用年限|電動機B主回路用接触器3別添出力選択使用年数
d34611|电动机B主电路用接触器3触点的开闭次数是否良好|電動機B主回路用接触器3接点の開閉回数良否
d34612|电动机B主电路用接触器3触点的状态（磨损量）有无|電動機B主回路用接触器3接点の状態（摩耗量）有無
d34613|电动机B主电路用接触器3触点的状态（磨损量）好坏|電動機B主回路用接触器3接点の状態（摩耗量）良否
d34614|电动机B主电路用接触器3有无可动部的状态|電動機B主回路用接触器3可動部の状態有無
d34615|电动机B主电路用接触器3的主触点使用年限|電動機B主回路用接触器3の主接点使用年数
d35023|DCS轴的磨损量|DCS軸の摩耗量
d35029|UCMP大臣认定编号|UCMP大臣認定番号
d35030|制动器切断用接触器型号（确认用）|ブレーキ遮断用接触器型名(確認用)
d35031|确认显示UCMP形式名和大臣认定编号的情况是否良好|UCMP形名と大臣認定番号の確認表示の状況良否
d35032|确认显示UCMP形式名和大臣认定编号的情况特别记载事项|UCMP形名と大臣認定番号の確認表示の状況特記事項
d35033|控制基板及控制程序的确认外观的状况指定的形式名|制御基板及び制御プログラムの確認外観の状況指定の形名
d35034|控制基板及控制程序的确认外观的状况基板形名称|制御基板及び制御プログラムの確認外観の状況基板形名
d35035|控制基板及控制程序的确认外观的状况是否良好|制御基板及び制御プログラムの確認外観の状況良否
d35036|控制基板及控制程序的确认外观的状况特别记载事项|制御基板及び制御プログラムの確認外観の状況特記事項
d35037|控制基板及控制程序的确认基板的使用期间的状况制造年月日|制御基板及び制御プログラムの確認基板の使用期間の状況製造年月日
d35038|控制基板及控制程序的确认基板的使用期间的状况使用年数|制御基板及び制御プログラムの確認基板の使用期間の状況使用年数
d35039|控制基板及控制程序的确认基板的使用期间的状况是否良好|制御基板及び制御プログラムの確認基板の使用期間の状況良否
d35040|控制基板及控制程序的确认基板的使用期间的状况特别记载事项|制御基板及び制御プログラムの確認基板の使用期間の状況特記事項
d35041|控制基板及控制程序的确认动作的状况是否良好|制御基板及び制御プログラムの確認作動の状況良否
d35042|控制基板及控制程序的确认动作的状况特别记载事项|制御基板及び制御プログラムの確認作動の状況特記事項
d35125|取消特定距离感测装置的确认|特定距離感知装置の確認抹消
d35043|特定距离感测装置的确认动作的状况既定的显示上升方向1|特定距離感知装置の確認作動の状況既定の表示上昇方向１
d35044|特定距离感测装置的确认动作的状况既定的显示上升方向2|特定距離感知装置の確認作動の状況既定の表示上昇方向２
d35045|特定距离感测装置的确认动作的状况既定的显示上升方向3|特定距離感知装置の確認作動の状況既定の表示上昇方向３
d35046|特定距离感测装置的确认动作的状况既定的显示上升方向4|特定距離感知装置の確認作動の状況既定の表示上昇方向４
d35047|特定距离感测装置的确认动作的状况既定的显示上升方向5|特定距離感知装置の確認作動の状況既定の表示上昇方向５
d35048|特定距离感测装置的确认动作的状况既定的显示下降方向1|特定距離感知装置の確認作動の状況既定の表示下降方向１
d35049|特定距离感测装置的确认动作的状况既定的显示下降方向2|特定距離感知装置の確認作動の状況既定の表示下降方向２
d35050|特定距离感测装置的确认动作的状况既定的显示下降方向3|特定距離感知装置の確認作動の状況既定の表示下降方向３
d35051|特定距离感测装置的确认动作的状况既定的显示下降方向4|特定距離感知装置の確認作動の状況既定の表示下降方向４
d35052|特定距离感测装置的确认动作的状况既定的显示下降方向5|特定距離感知装置の確認作動の状況既定の表示下降方向５
d35053|有无特定距离感测装置的确认动作的状况装置|特定距離感知装置の確認作動の状況装置有無
d35054|特定距离感测装置的确认动作的状况表示的顺序上升方向1|特定距離感知装置の確認作動の状況表示の順序上昇方向１
d35055|特定距离感测装置的确认动作的状况表示的顺序上升方向2|特定距離感知装置の確認作動の状況表示の順序上昇方向２
d35056|特定距离感测装置的确认动作的状况表示的顺序上升方向3|特定距離感知装置の確認作動の状況表示の順序上昇方向３
d35057|特定距离感测装置的确认动作的状况表示的顺序上升方向4|特定距離感知装置の確認作動の状況表示の順序上昇方向４
d35058|特定距离感测装置的确认动作的状况表示的顺序上升方向5|特定距離感知装置の確認作動の状況表示の順序上昇方向５
d35059|特定距离感测装置的确认动作的状况表示的顺序下降方向1|特定距離感知装置の確認作動の状況表示の順序下降方向１
d35060|特定距离感测装置的确认动作的状况表示的顺序下降方向2|特定距離感知装置の確認作動の状況表示の順序下降方向２
d35061|特定距离感测装置的确认动作的状况表示的顺序下降方向3|特定距離感知装置の確認作動の状況表示の順序下降方向３
d35062|特定距离感测装置的确认动作的状况显示的顺序下降方向4|特定距離感知装置の確認作動の状況表示の順序下降方向４
d35063|特定距离感测装置的确认动作的状况显示的顺序下降方向5|特定距離感知装置の確認作動の状況表示の順序下降方向５
d35064|特定距离感测装置的确认动作的状况是否良好|特定距離感知装置の確認作動の状況良否
d35065|特定距离感测装置的确认动作的状况特别记载事项|特定距離感知装置の確認作動の状況特記事項
d35066|特定距离感测装置的确认着床的状况阶梯差尺寸正负|特定距離感知装置の確認着床の状況段差寸法正負
d35067|特定距离感测装置的确认着床的状况阶梯差尺寸|特定距離感知装置の確認着床の状況段差寸法
d35068|特定距离感测装置的确认着床的状况是否良好|特定距離感知装置の確認着床の状況良否
d35069|特定距离感测装置的确认着床的状况特别记载事项|特定距離感知装置の確認着床の状況特記事項
d35070|UCMP的制动器确认制动力的状况制动距离（基准值）|UCMPのブレーキ確認制動力の状況制動距離(基準値)
d35071|UCMP的制动器确认制动力的状况变化量（基准值）|UCMPのブレーキ確認制動力の状況変化量(基準値)
d35073|UCMP的制动器确认制动力的状况制动距离（上次值）|UCMPのブレーキ確認制動力の状況制動距離(前回値)
d35075|UCMP的制动器确认制动力的状况是否良好|UCMPのブレーキ確認制動力の状況良否
d35076|UCMP的制动器确认制动力的状况特别记载事项|UCMPのブレーキ確認制動力の状況特記事項
d35077|制动器动作感知装置的确认外观是否良好|ブレーキ動作感知装置の確認外観の状況良否
d35078|制动器动作感知装置的确认外观的情况特别记载事项|ブレーキ動作感知装置の確認外観の状況特記事項
d35079|确认安装制动器动作感知装置的情况是否良好|ブレーキ動作感知装置の確認取付けの状況良否
d35080|确认安装制动器动作感知装置的情况特别记载事项|ブレーキ動作感知装置の確認取付けの状況特記事項
d35081|制动器动作感知装置的确认动作的状况是否良好|ブレーキ動作感知装置の確認作動の状況良否
d35082|制动器动作感知装置的确认动作的情况特别记载事项|ブレーキ動作感知装置の確認作動の状況特記事項
d35083|确认轿厢门开关形状名轿顶门开关形式名|かごの戸のスイッチの確認スイッチの形名かごの戸のスイッチ形名
d35084|确认轿厢门开关的形状是否良好|かごの戸のスイッチの確認スイッチの形名良否
d35085|确认轿厢门开关的形状特别记载事项|かごの戸のスイッチの確認スイッチの形名特記事項
d35086|层站的门的开关的确认开关的形式名乘场的门的开关形式名|乗場の戸のスイッチの確認スイッチの形名乗場の戸のスイッチ形名
d35087|层站的门的开关的确认开关的形式是否好|乗場の戸のスイッチの確認スイッチの形名良否
d35088|层站的门的开关的确认开关的形式特别记载事项|乗場の戸のスイッチの確認スイッチの形名特記事項
d35089|轿顶围裙的确认外观是否良好|かごエプロンの確認外観の状況良否
d35090|轿厢围裙的确认外观的情况特别记载事项|かごエプロンの確認外観の状況特記事項
d35091|确认安装轿顶围裙的情况是否良好|かごエプロンの確認取付けの状況良否
d35092|确认安装轿厢围裙的情况特记事项|かごエプロンの確認取付けの状況特記事項
d35093|轿厢围裙的确认长度情况到围裙垂直部下端为止的长度（基准值）|かごエプロンの確認長さの状況エプロン垂直部下端までの長さ(基準値)
d35095|确认轿厢围裙长度的情况是否良好|かごエプロンの確認長さの状況良否
d35096|确认轿厢围裙长度的情况特别记载事项|かごエプロンの確認長さの状況特記事項
d35126|货物处理注意标识的确认抹消|荷扱注意標識の確認抹消
d35097|货物处理注意标识确认标识的情况是否良好|荷扱注意標識の確認表示の状況良否
d35098|货物处理注意标识的确认标识的情况特别记载事项|荷扱注意標識の確認表示の状況特記事項
d35127|注销轿厢门全开感知开关的确认|かご戸全開感知スイッチの確認抹消
d35099|轿厢门全开感知开关的确认动作情况是否良好|かご戸全開感知スイッチの確認作動の状況良否
d35100|轿厢门全开感知开关的确认动作的情况特记事项|かご戸全開感知スイッチの確認作動の状況特記事項
d35128|注销层站门全开感知开关的确认|乗場戸全開感知スイッチの確認抹消
d35101|层站门全开感知开关的确认工作情况是否良好|乗場戸全開感知スイッチの確認作動の状況良否
d35102|层站门全开感知开关的确认动作的情况特别记载事项|乗場戸全開感知スイッチの確認作動の状況特記事項
d35103|调速机的确认摆的销和凸轮的系代测量值1|調速機の確認振子のピンとカムの係り代測定値１
d35104|调速机的确认摆的销和凸轮的系代测量值2|調速機の確認振子のピンとカムの係り代測定値２
d35105|调速机的确认摆的销和凸轮的关系是否良好|調速機の確認振子のピンとカムの係り代良否
d35106|调速机的确认摆的销和凸轮的系代特记事项|調速機の確認振子のピンとカムの係り代特記事項
d35107|调速机的确认螺线管计划器的工作状况是否良好|調速機の確認ソレノイドプランジャーの作動の状況良否
d35108|调速机的确认螺线管计划器的工作状况特别记载事项|調速機の確認ソレノイドプランジャーの作動の状況特記事項
d35109|调速机、紧急停止装置的确认紧急停止的动作状况是否良好|調速機・非常止め装置の確認非常止めの作動の状況良否
d35110|紧急停止调速机和紧急停止装置的确认工作的情况特别记载事项|調速機・非常止め装置の確認非常止めの作動の状況特記事項
d35800|交叉部固定保护板上部（左）有无|交差部固定保護板上部（左）有無
d35801|交叉部固定保护板固定保护板端部的厚度上部（左）|交差部固定保護板固定保護板の端の厚さ上部（左）
d35802|从交叉部固定保护板扶手的上面开始铅正上方方向的尺寸上部（左）|交差部固定保護板手摺の上面から鉛直上方向の寸法上部（左）
d35803|从交叉部固定保护板扶手的上端部到铅正下方方向的尺寸上部（左）|交差部固定保護板手摺の上端部から鉛直下方向の寸法上部（左）
d35804|交叉部固定保护板安装的状态上部（左）|交差部固定保護板取付の状態上部（左）
d35805|交叉部固定保护板上部（右）有无|交差部固定保護板上部（右）有無
d35806|交叉部固定保护板固定保护板一端的厚度上部（右）|交差部固定保護板固定保護板の端の厚さ上部（右）
d35807|从交叉部固定保护板扶手的上面开始铅正上方方向的尺寸上部（右）|交差部固定保護板手摺の上面から鉛直上方向の寸法上部（右）
d35808|从交叉部固定保护板扶手的上端部到铅正下方方向的尺寸上部（右）|交差部固定保護板手摺の上端部から鉛直下方向の寸法上部（右）
d35809|交叉部固定保护板安装的状态上部（右）|交差部固定保護板取付の状態上部（右）
d35810|交叉部固定保护板下部（左）有无|交差部固定保護板下部（左）有無
d35811|交叉部固定保护板固定保护板边缘的厚度下部（左）|交差部固定保護板固定保護板の端の厚さ下部（左）
d35812|从交叉部固定保护板扶手的上面开始铅正上方方向的尺寸下部（左）|交差部固定保護板手摺の上面から鉛直上方向の寸法下部（左）
d35813|从交叉部固定保护板扶手的上端部到铅正下方方向的尺寸下部（左）|交差部固定保護板手摺の上端部から鉛直下方向の寸法下部（左）
d35814|交叉部固定保护板安装的状态下部（左）|交差部固定保護板取付の状態下部（左）
d35815|交叉部固定保护板下部（右）有无|交差部固定保護板下部（右）有無
d35816|交叉部固定保护板固定保护板端部的厚度下部（右）|交差部固定保護板固定保護板の端の厚さ下部（右）
d35817|从交叉部固定保护板扶手的上面开始铅正上方方向的尺寸下部（右）|交差部固定保護板手摺の上面から鉛直上方向の寸法下部（右）
d35818|从交叉部固定保护板扶手的上端部到铅正下方方向的尺寸下部（右）|交差部固定保護板手摺の上端部から鉛直下方向の寸法下部（右）
d35819|交叉部固定保护板安装的状态下部（右）|交差部固定保護板取付の状態下部（右）
d35617|有无防止跌落栏布局和防止跌落栏之间的间隙上部（左）|転落防止柵ﾊﾝﾄﾞﾚｰﾙと転落防止柵との隙間上部（左）有無
d35618|防止跌落栏布局和防止跌落栏之间的间隙上部（左）|転落防止柵ﾊﾝﾄﾞﾚｰﾙと転落防止柵との隙間上部（左）
d35619|防止跌落栏布局和防止跌落栏之间的间隙安装状态上部（左）|転落防止柵ﾊﾝﾄﾞﾚｰﾙと転落防止柵との隙間取付の状態上部（左）
d35620|有无防止跌落栏布局和防止跌落栏之间的间隙上部（右）|転落防止柵ﾊﾝﾄﾞﾚｰﾙと転落防止柵との隙間上部（右）有無
d35621|防止跌落栏布局和防止跌落栏之间的间隙上部（右）|転落防止柵ﾊﾝﾄﾞﾚｰﾙと転落防止柵との隙間上部（右）
d35622|防止跌落栏布局和防止跌落栏之间的间隙安装状态上部（右）|転落防止柵ﾊﾝﾄﾞﾚｰﾙと転落防止柵との隙間取付の状態上部（右）
d35623|有无防止跌落栏布局和防止跌落栏之间的间隙下部（左）|転落防止柵ﾊﾝﾄﾞﾚｰﾙと転落防止柵との隙間下部（左）有無
d35624|防止跌落栏布局和防止跌落栏之间的间隙下部（左）|転落防止柵ﾊﾝﾄﾞﾚｰﾙと転落防止柵との隙間下部（左）
d35625|防止跌落栏支架和防止跌落栏之间的间隙安装状态下部（左）|転落防止柵ﾊﾝﾄﾞﾚｰﾙと転落防止柵との隙間取付の状態下部（左）
d35626|有无防止跌落栏布局和防止跌落栏之间的间隙下部（右）|転落防止柵ﾊﾝﾄﾞﾚｰﾙと転落防止柵との隙間下部（右）有無
d35627|防止跌落栏支架和防止跌落栏之间的间隙下部（右）|転落防止柵ﾊﾝﾄﾞﾚｰﾙと転落防止柵との隙間下部（右）
d35628|防止跌落栏支架和防止跌落栏之间的间隙安装状态下部（右）|転落防止柵ﾊﾝﾄﾞﾚｰﾙと転落防止柵との隙間取付の状態下部（右）
d35629|有无从防止跌落栏布局到隔板的距离上部（左）|転落防止柵ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離上部（左）有無
d35630|防止跌落栏布局到隔板的距离上部（左）|転落防止柵ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離上部（左）
d35631|从防止跌落栏布局到隔板的距离安装的状态上部（左）|転落防止柵ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離取付の状態上部（左）
d35632|有无从防止跌落栏布局到隔板的距离上部（右）|転落防止柵ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離上部（右）有無
d35633|防止跌落栏布局到隔板的距离上部（右）|転落防止柵ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離上部（右）
d35634|从防止跌落栏布局到隔板的距离安装的状态上部（右）|転落防止柵ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離取付の状態上部（右）
d35635|有无从防止跌落栏布局到隔板的距离下部（左）|転落防止柵ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離下部（左）有無
d35636|防止跌落栏布局到隔板的距离下部（左）|転落防止柵ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離下部（左）
d35637|防止跌落栏支架到隔板距离安装的状态下部（左）|転落防止柵ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離取付の状態下部（左）
d35638|有无从防止跌落栏布局到隔板的距离下部（右）|転落防止柵ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離下部（右）有無
d35639|防止跌落栏布局到隔板的距离下部（右）|転落防止柵ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離下部（右）
d35640|防止跌落栏支架到隔板距离安装的状态下部（右）|転落防止柵ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離取付の状態下部（右）
d35641|防止跌落栏外侧板与防侵入板之间有无间隙上部（左）|転落防止柵外側板と侵入防止板との隙間上部（左）有無
d35642|防止跌落栏外侧板与防侵入板之间的间隙上部（左）|転落防止柵外側板と侵入防止板との隙間上部（左）
d35643|防止跌落栏外侧板和防止侵入板间隙的状态上部（左）|転落防止柵外側板と侵入防止板との隙間取付の状態上部（左）
d35644|防止跌落栏外侧板与防侵入板之间有无间隙上部（右）|転落防止柵外側板と侵入防止板との隙間上部（右）有無
d35645|防止跌落栏外侧板与防侵入板之间的间隙上部（右）|転落防止柵外側板と侵入防止板との隙間上部（右）
d35646|防止跌落栏外侧板和防止侵入板间隙的状态上部（右）|転落防止柵外側板と侵入防止板との隙間取付の状態上部（右）
d35647|防止跌落栏外侧板与防侵入板之间有无间隙下部（左）|転落防止柵外側板と侵入防止板との隙間下部（左）有無
d35648|防止跌落栏外侧板与防侵入板之间的间隙下部（左）|転落防止柵外側板と侵入防止板との隙間下部（左）
d35649|防止跌落栏外侧板和防止侵入板间隙的状态下部（左）|転落防止柵外側板と侵入防止板との隙間取付の状態下部（左）
d35650|有无防止跌落栏外侧板与防侵入板之间的间隙下部（右）|転落防止柵外側板と侵入防止板との隙間下部（右）有無
d35651|防止跌落栏外侧板与防侵入板之间的间隙下部（右）|転落防止柵外側板と侵入防止板との隙間下部（右）
d35652|防止跌落栏外侧板和防止侵入板间隙的状态下部（右）|転落防止柵外側板と侵入防止板との隙間取付の状態下部（右）
d35653|防止掉落栅栏建筑物与防侵入用隔板之间有无间隙上部（左）|転落防止柵建築物と侵入防止用仕切板との隙間上部（左）有無
d35654|防止掉落栅栏建筑物与防止侵入用隔板之间的间隙上部（左）|転落防止柵建築物と侵入防止用仕切板との隙間上部（左）
d35655|防止掉落栅栏建筑物和防止侵入用隔板间的间隙安装状态上部（左）|転落防止柵建築物と侵入防止用仕切板との隙間取付の状態上部（左）
d35656|防止掉落栅栏建筑物与防侵入用隔板之间有无间隙上部（右）|転落防止柵建築物と侵入防止用仕切板との隙間上部（右）有無
d35657|防止掉落栅栏建筑物与防止侵入用隔板之间的间隙上部（右）|転落防止柵建築物と侵入防止用仕切板との隙間上部（右）
d35658|防止掉落栅栏建筑物和防止侵入用隔板间的间隙安装状态上部（右）|転落防止柵建築物と侵入防止用仕切板との隙間取付の状態上部（右）
d35659|防止掉落栅栏建筑物与防止侵入用隔板之间有无间隙下部（左）|転落防止柵建築物と侵入防止用仕切板との隙間下部（左）有無
d35660|防止掉落栅栏建筑物与防止侵入用隔板之间的间隙下部（左）|転落防止柵建築物と侵入防止用仕切板との隙間下部（左）
d35661|防止掉落栅栏建筑物和防止侵入用隔板之间的间隙安装的状态下部（左）|転落防止柵建築物と侵入防止用仕切板との隙間取付の状態下部（左）
d35662|防止掉落栅栏建筑物与防止侵入用隔板之间有无间隙下部（右）|転落防止柵建築物と侵入防止用仕切板との隙間下部（右）有無
d35663|防止掉落栅栏建筑物与防止侵入用隔板之间的间隙下部（右）|転落防止柵建築物と侵入防止用仕切板との隙間下部（右）
d35664|防止掉落栅栏建筑物和防止侵入用隔板之间的间隙安装的状态下部（右）|転落防止柵建築物と侵入防止用仕切板との隙間取付の状態下部（右）
d35665|有无感应栏上部（左）|誘導柵上部（左）有無
d35666|感应栏支架外缘和感应栏的间隙上部（左）|誘導柵ﾊﾝﾄﾞﾚｰﾙ外縁と誘導柵の隙間上部（左）
d35667|感应栏支架外缘和感应栏的间隙安装的状态上部（左）|誘導柵ﾊﾝﾄﾞﾚｰﾙ外縁と誘導柵の隙間取付の状態上部（左）
d35668|有无感应栏上部（右）|誘導柵上部（右）有無
d35669|感应栏支架外缘和感应栏的间隙上部（右）|誘導柵ﾊﾝﾄﾞﾚｰﾙ外縁と誘導柵の隙間上部（右）
d35670|感应栏支架外缘和感应栏的间隙安装的状态上部（右）|誘導柵ﾊﾝﾄﾞﾚｰﾙ外縁と誘導柵の隙間取付の状態上部（右）
d35671|诱导兽下部（左）有无|誘導柵下部（左）有無
d35672|感应栏支架外缘和感应栏的间隙下部（左）|誘導柵ﾊﾝﾄﾞﾚｰﾙ外縁と誘導柵の隙間下部（左）
d35673|感应栏支架外缘和感应栏的间隙安装的状态下部（左）|誘導柵ﾊﾝﾄﾞﾚｰﾙ外縁と誘導柵の隙間取付の状態下部（左）
d35674|诱导兽下部（右）有无|誘導柵下部（右）有無
d35675|感应栏支架外缘和感应栏的间隙下部（右）|誘導柵ﾊﾝﾄﾞﾚｰﾙ外縁と誘導柵の隙間下部（右）
d35676|感应栏支架外缘和感应栏的间隙安装的状态下部（右）|誘導柵ﾊﾝﾄﾞﾚｰﾙ外縁と誘導柵の隙間取付の状態下部（右）
d35677|有无防掉落网（架子）（左）|落下防止網（棚）（左）有無
d35678|防掉落网（架子）安装状态（左）|落下防止網（棚）取付の状態（左）
d35679|有无防掉落网（架子）（右）|落下防止網（棚）（右）有無
d35680|防止掉落网（架子）安装状态（右）|落下防止網（棚）取付の状態（右）
d35681|台阶正上方的障碍物。|踏段直上部の障害物
d35820|交叉部可动警告板上部（左）有无|交差部可動警告板上部（左）有無
d35821|交叉部可动警告板可动警告板边缘的厚度上部（左）|交差部可動警告板可動警告板の端の厚さ上部（左）
d35822|交叉部可动警告板前缘圆柱部的直径上部（左）|交差部可動警告板前縁の円筒部の直径上部（左）
d35823|交叉部可动警告板圆柱部不能越过顶层的判定上部（左）|交差部可動警告板円筒部がﾊﾝﾄﾞﾚｰﾙを乗り越えない判定上部（左）
d35824|交叉部可动警告板安装的状态上部（左）|交差部可動警告板取付の状態上部（左）
d35825|交叉部可动警告板上部（右）有无|交差部可動警告板上部（右）有無
d35826|交叉部可动警告板可动警告板的端部的厚度上部（右）|交差部可動警告板可動警告板の端の厚さ上部（右）
d35827|交叉部可动警告板前缘圆柱部的直径上部（右）|交差部可動警告板前縁の円筒部の直径上部（右）
d35828|交叉部可动警告板圆柱部不能越过顶层的判定上部（右）|交差部可動警告板円筒部がﾊﾝﾄﾞﾚｰﾙを乗り越えない判定上部（右）
d35829|交叉部可动警告板安装的状态上部（右）|交差部可動警告板取付の状態上部（右）
d35830|交叉部可动警告板下部（左）有无|交差部可動警告板下部（左）有無
d35831|交叉部可动警告板可动警告板的端部的厚度下部（左）|交差部可動警告板可動警告板の端の厚さ下部（左）
d35832|交叉部可动警告板前缘圆柱部的直径下部（左）|交差部可動警告板前縁の円筒部の直径下部（左）
d35833|交叉部可动警告板圆柱部不跨过顶层的判定下部（左）|交差部可動警告板円筒部がﾊﾝﾄﾞﾚｰﾙを乗り越えない判定下部（左）
d35834|交叉部可动警告板安装的状态下部（左）|交差部可動警告板取付の状態下部（左）
d35835|交叉部可动警告板下部（右）有无|交差部可動警告板下部（右）有無
d35836|交叉部可动警告板可动警告板的端部的厚度下部（右）|交差部可動警告板可動警告板の端の厚さ下部（右）
d35837|交叉部可动警告板前缘圆柱部的直径下部（右）|交差部可動警告板前縁の円筒部の直径下部（右）
d35838|交叉部可动警告板圆柱部不跨过顶层的判定下部（右）|交差部可動警告板円筒部がﾊﾝﾄﾞﾚｰﾙを乗り越えない判定下部（右）
d35839|交叉部可动警告板安装的状态下部（右）|交差部可動警告板取付の状態下部（右）
d35692|路面注意标识鲜明的判定|踏段面注意標識鮮明の判定
d35693|从上行防止用隔板支架到隔板的距离升降口有无第1个（左）|登り防止用仕切板ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離昇降口から1個目（左）有無
d35694|从上行防止用隔板支架到隔板的距离升降口起的第1个（左）|登り防止用仕切板ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離昇降口から1個目（左）
d35695|从上行防止用隔板支架到隔板的距离升降口有无第2个（左）|登り防止用仕切板ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離昇降口から2個目（左）有無
d35696|从上行防止用隔板支架到隔板的距离升降口数起的第2个（左）|登り防止用仕切板ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離昇降口から2個目（左）
d35697|从上行防止用隔板支架到隔板的距离升降口有无第1个（右）|登り防止用仕切板ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離昇降口から1個目（右）有無
d35698|从上行防止用隔板支架到隔板的距离升降口起的第1个（右）|登り防止用仕切板ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離昇降口から1個目（右）
d35699|从上行防止用隔板支架到隔板的距离升降口有无第2个（右）|登り防止用仕切板ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離昇降口から2個目（右）有無
d35700|从上行防止用隔板支架到隔板的距离升降口数起的第2个（右）|登り防止用仕切板ﾊﾝﾄﾞﾚｰﾙから仕切板までの距離昇降口から2個目（右）
d35701|确定形成防火区划的快门或与门的联动停止装置|防火区画を形成するシャッター又は戸との連動停止装置判定
d36479|从交叉部固定保护板扶手的上端部有无铅正下方方向的尺寸上部（左）|交差部固定保護板 手摺の上端部から鉛直下方向の寸法 上部（左）有無
d36480|从交叉部固定保护板扶手的上端部有无铅正下方方向的尺寸上部（右）|交差部固定保護板 手摺の上端部から鉛直下方向の寸法 上部（右）有無
d36481|从交叉部固定保护板扶手的上端部有无铅正下方方向的尺寸下部（左）|交差部固定保護板 手摺の上端部から鉛直下方向の寸法 下部（左）有無
d36482|从交叉部固定保护板扶手的上端部有无铅正下方方向的尺寸下部（右）|交差部固定保護板 手摺の上端部から鉛直下方向の寸法 下部（右）有無
d20550|├電源回路抹消
d08584|├絶縁抵抗試験電源回路電圧
d08586|├絶縁抵抗試験電源回路絶縁抵抗
d08588|├絶縁抵抗試験電源回路接地相良否
d20955|├電動機主回路抹消
d20956|├電動機主回路電圧
d20551|├電動機主回路電圧選択
d21036|├電動機主回路抵抗
d08561|├絶縁抵抗試験発電機有無(発・電動機回路)
d08571|├絶縁抵抗試験発電機電圧(発・電動機回路)
